#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Jaseiken Necromancer (Japan);Jaseiken Necromancer (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Jigoku Meguri (Japan);Jigoku Meguri (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Jinmu Denshou (Japan);Jinmu Denshou (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Jinmu Denshou (Japan) (Alt 1);Jinmu Denshou (Japan) (Alt 1);ra-tg16;;;;;;;;;;;;;;;;;;
Juuouki (Japan);Juuouki (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Juuouki (Japan) (Alt 1);Juuouki (Japan) (Alt 1);ra-tg16;;;;;;;;;;;;;;;;;;
Kaizou Choujin Shubibinman (Japan);Kaizou Choujin Shubibinman (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Kaizou Choujin Shubibinman 2 - Aratanaru Teki (Japan);Kaizou Choujin Shubibinman 2 - Aratanaru Teki (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Kato-chan Ken-chan (Japan);Kato-chan Ken-chan (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Kattobi! Takuhai-kun (Japan);Kattobi! Takuhai-kun (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Keith Courage in Alpha Zones (USA);Keith Courage in Alpha Zones (USA);ra-tg16;;;;;;;;;;;;;;;;;;
KickBall (Japan);KickBall (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Kikikai-kai (Japan);Kikikai-kai (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
King of Casino (Japan);King of Casino (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
King of Casino (USA);King of Casino (USA);ra-tg16;;;;;;;;;;;;;;;;;;
Klax (Japan);Klax (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
